fill	x	y	clickSelects	group	xmin	xmax	ymin	ymax
#D4D4D4	12	1	12 1	27	11.5	12.5	0.5	1.5
#E7E7E7	14	3	14 3	52	13.5	14.5	2.5	3.5
#F4F4F4	20	9	20 9	127	19.5	20.5	8.5	9.5
#FEFEFE	15	4	15 4	64	14.5	15.5	3.5	4.5
#F2F2F2	21	10	21 10	130	20.5	21.5	9.5	10.5
#FDFDFD	13	2	13 2	40	12.5	13.5	1.5	2.5
#2F2F2F	12	0	12 0	26	11.5	12.5	-0.5	0.5
#E0E0E0	13	1	13 1	38	12.5	13.5	0.5	1.5
#EDEDED	14	2	14 2	51	13.5	14.5	1.5	2.5
#FEFEFE	19	8	19 8	112	18.5	19.5	7.5	8.5
#F6F6F6	21	9	21 9	138	20.5	21.5	8.5	9.5
#FEFEFE	20	8	20 8	126	19.5	20.5	7.5	8.5
#FCFCFC	15	3	15 3	63	14.5	15.5	2.5	3.5
#FEFEFE	19	7	19 7	111	18.5	19.5	6.5	7.5
#6D6D6D	13	0	13 0	37	12.5	13.5	-0.5	0.5
#FEFEFE	20	7	20 7	125	19.5	20.5	6.5	7.5
#FEFEFE	21	8	21 8	137	20.5	21.5	7.5	8.5
#D9D9D9	14	1	14 1	49	13.5	14.5	0.5	1.5
#BDBDBD	15	2	15 2	62	14.5	15.5	1.5	2.5
#FBFBFB	16	3	16 3	74	15.5	16.5	2.5	3.5
#FEFEFE	16	4	16 4	75	15.5	16.5	3.5	4.5
#FEFEFE	17	4	17 4	86	16.5	17.5	3.5	4.5
#959595	14	0	14 0	48	13.5	14.5	-0.5	0.5
#4D4D4D	15	1	15 1	60	14.5	15.5	0.5	1.5
#E3E3E3	16	2	16 2	73	15.5	16.5	1.5	2.5
#FDFDFD	17	3	17 3	85	16.5	17.5	2.5	3.5
#FFFFFF	24	10	24 10	163	23.5	24.5	9.5	10.5
#727272	15	0	15 0	59	14.5	15.5	-0.5	0.5
#AFAFAF	16	1	16 1	71	15.5	16.5	0.5	1.5
#EDEDED	17	2	17 2	84	16.5	17.5	1.5	2.5
#FEFEFE	18	3	18 3	96	17.5	18.5	2.5	3.5
#FFFFFF	24	9	24 9	171	23.5	24.5	8.5	9.5
#FFFFFF	25	10	25 10	174	24.5	25.5	9.5	10.5
#4A4A4A	16	0	16 0	70	15.5	16.5	-0.5	0.5
#6E6E6E	17	1	17 1	82	16.5	17.5	0.5	1.5
#ACACAC	18	2	18 2	95	17.5	18.5	1.5	2.5
#FFFFFF	25	9	25 9	182	24.5	25.5	8.5	9.5
#FEFEFE	19	3	19 3	107	18.5	19.5	2.5	3.5
#FEFEFE	19	4	19 4	108	18.5	19.5	3.5	4.5
#FEFEFE	20	4	20 4	122	19.5	20.5	3.5	4.5
#828282	17	0	17 0	81	16.5	17.5	-0.5	0.5
#C3C3C3	18	1	18 1	93	17.5	18.5	0.5	1.5
#FEFEFE	20	3	20 3	121	19.5	20.5	2.5	3.5
#FBFBFB	19	2	19 2	106	18.5	19.5	1.5	2.5
#FCFCFC	23	6	23 6	157	22.5	23.5	5.5	6.5
#ABABAB	18	0	18 0	92	17.5	18.5	-0.5	0.5
#E0E0E0	19	1	19 1	104	18.5	19.5	0.5	1.5
#FEFEFE	20	2	20 2	120	19.5	20.5	1.5	2.5
#FDFDFD	21	3	21 3	132	20.5	21.5	2.5	3.5
#A0A0A0	19	0	19 0	103	18.5	19.5	-0.5	0.5
#FCFCFC	21	2	21 2	131	20.5	21.5	1.5	2.5
#F4F4F4	20	1	20 1	118	19.5	20.5	0.5	1.5
#FEFEFE	25	6	25 6	179	24.5	25.5	5.5	6.5
#FFFFFF	24	6	24 6	168	23.5	24.5	5.5	6.5
#FFFFFF	25	7	25 7	180	24.5	25.5	6.5	7.5
#FEFEFE	26	7	26 7	191	25.5	26.5	6.5	7.5
#FBFBFB	22	3	22 3	143	21.5	22.5	2.5	3.5
#FCFCFC	24	5	24 5	167	23.5	24.5	4.5	5.5
#FCFCFC	23	4	23 4	155	22.5	23.5	3.5	4.5
#9F9F9F	20	0	20 0	117	19.5	20.5	-0.5	0.5
#F5F5F5	21	1	21 1	129	20.5	21.5	0.5	1.5
#FAFAFA	22	2	22 2	142	21.5	22.5	1.5	2.5
#FBFBFB	24	4	24 4	166	23.5	24.5	3.5	4.5
#FEFEFE	26	6	26 6	190	25.5	26.5	5.5	6.5
#F8F8F8	23	3	23 3	154	22.5	23.5	2.5	3.5
#DDDDDD	21	0	21 0	128	20.5	21.5	-0.5	0.5
#F9F9F9	23	2	23 2	153	22.5	23.5	1.5	2.5
#FDFDFD	27	6	27 6	201	26.5	27.5	5.5	6.5
#E9E9E9	22	1	22 1	140	21.5	22.5	0.5	1.5
#FCFCFC	24	3	24 3	165	23.5	24.5	2.5	3.5
#FDFDFD	25	4	25 4	177	24.5	25.5	3.5	4.5
#FEFEFE	25	5	25 5	178	24.5	25.5	4.5	5.5
#FCFCFC	26	5	26 5	189	25.5	26.5	4.5	5.5
#D8D8D8	22	0	22 0	139	21.5	22.5	-0.5	0.5
#F2F2F2	23	1	23 1	151	22.5	23.5	0.5	1.5
#FAFAFA	24	2	24 2	164	23.5	24.5	1.5	2.5
#FCFCFC	26	4	26 4	188	25.5	26.5	3.5	4.5
#FCFCFC	27	5	27 5	200	26.5	27.5	4.5	5.5
#FEFEFE	25	3	25 3	176	24.5	25.5	2.5	3.5
#D0D0D0	23	0	23 0	150	22.5	23.5	-0.5	0.5
#D8D8D8	24	1	24 1	162	23.5	24.5	0.5	1.5
#F1F1F1	25	2	25 2	175	24.5	25.5	1.5	2.5
#FDFDFD	26	3	26 3	187	25.5	26.5	2.5	3.5
#FCFCFC	27	4	27 4	199	26.5	27.5	3.5	4.5
#FEFEFE	28	5	28 5	211	27.5	28.5	4.5	5.5
#CACACA	24	0	24 0	161	23.5	24.5	-0.5	0.5
#E2E2E2	25	1	25 1	173	24.5	25.5	0.5	1.5
#FDFDFD	28	4	28 4	210	27.5	28.5	3.5	4.5
#FDFDFD	26	2	26 2	186	25.5	26.5	1.5	2.5
#FAFAFA	27	3	27 3	198	26.5	27.5	2.5	3.5
#FFFFFF	32	8	32 8	261	31.5	32.5	7.5	8.5
#FFFFFF	33	9	33 9	273	32.5	33.5	8.5	9.5
#FFFFFF	32	9	32 9	262	31.5	32.5	8.5	9.5
#D0D0D0	25	0	25 0	172	24.5	25.5	-0.5	0.5
#EDEDED	26	1	26 1	184	25.5	26.5	0.5	1.5
#FAFAFA	27	2	27 2	197	26.5	27.5	1.5	2.5
#FBFBFB	28	3	28 3	209	27.5	28.5	2.5	3.5
#FFFFFF	33	8	33 8	272	32.5	33.5	7.5	8.5
#E1E1E1	26	0	26 0	183	25.5	26.5	-0.5	0.5
#E5E5E5	27	1	27 1	195	26.5	27.5	0.5	1.5
#FBFBFB	28	2	28 2	208	27.5	28.5	1.5	2.5
#FFFFFF	33	7	33 7	271	32.5	33.5	6.5	7.5
#FFFFFF	34	9	34 9	284	33.5	34.5	8.5	9.5
#FFFFFF	34	8	34 8	283	33.5	34.5	7.5	8.5
#FFFFFF	35	9	35 9	295	34.5	35.5	8.5	9.5
#FEFEFE	29	3	29 3	220	28.5	29.5	2.5	3.5
#FFFFFF	32	6	32 6	259	31.5	32.5	5.5	6.5
#FFFFFF	32	7	32 7	260	31.5	32.5	6.5	7.5
#DDDDDD	27	0	27 0	194	26.5	27.5	-0.5	0.5
#E1E1E1	28	1	28 1	206	27.5	28.5	0.5	1.5
#FFFFFF	34	7	34 7	282	33.5	34.5	6.5	7.5
#FFFFFF	35	8	35 8	294	34.5	35.5	7.5	8.5
#F9F9F9	29	2	29 2	219	28.5	29.5	1.5	2.5
#FFFFFF	33	6	33 6	270	32.5	33.5	5.5	6.5
#FFFFFF	36	9	36 9	306	35.5	36.5	8.5	9.5
#D0D0D0	28	0	28 0	205	27.5	28.5	-0.5	0.5
#FFFFFF	35	7	35 7	293	34.5	35.5	6.5	7.5
#E2E2E2	29	1	29 1	217	28.5	29.5	0.5	1.5
#FAFAFA	30	2	30 2	234	29.5	30.5	1.5	2.5
#FFFFFF	34	6	34 6	281	33.5	34.5	5.5	6.5
#FFFFFF	36	8	36 8	305	35.5	36.5	7.5	8.5
#FFFFFF	30	3	30 3	235	29.5	30.5	2.5	3.5
#FFFFFF	33	5	33 5	269	32.5	33.5	4.5	5.5
#FFFFFF	31	3	31 3	245	30.5	31.5	2.5	3.5
#BBBBBB	29	0	29 0	216	28.5	29.5	-0.5	0.5
#E1E1E1	30	1	30 1	232	29.5	30.5	0.5	1.5
#FBFBFB	31	2	31 2	244	30.5	31.5	1.5	2.5
#FFFFFF	35	6	35 6	292	34.5	35.5	5.5	6.5
#FFFFFF	36	7	36 7	304	35.5	36.5	6.5	7.5
#FEFEFE	32	3	32 3	256	31.5	32.5	2.5	3.5
#FFFFFF	32	4	32 4	257	31.5	32.5	3.5	4.5
#FFFFFF	33	4	33 4	268	32.5	33.5	3.5	4.5
#FFFFFF	34	5	34 5	280	33.5	34.5	4.5	5.5
#FEFEFE	39	10	39 10	331	38.5	39.5	9.5	10.5
#FFFFFF	37	8	37 8	316	36.5	37.5	7.5	8.5
#C1C1C1	30	0	30 0	231	29.5	30.5	-0.5	0.5
#F2F2F2	31	1	31 1	242	30.5	31.5	0.5	1.5
#FEFEFE	32	2	32 2	255	31.5	32.5	1.5	2.5
#FFFFFF	33	3	33 3	267	32.5	33.5	2.5	3.5
#FFFFFF	34	4	34 4	279	33.5	34.5	3.5	4.5
#FFFFFF	35	5	35 5	291	34.5	35.5	4.5	5.5
#FFFFFF	36	6	36 6	303	35.5	36.5	5.5	6.5
#FFFFFF	37	7	37 7	315	36.5	37.5	6.5	7.5
#FFFFFF	39	9	39 9	339	38.5	39.5	8.5	9.5
#FEFEFE	40	10	40 10	347	39.5	40.5	9.5	10.5
#DDDDDD	31	0	31 0	241	30.5	31.5	-0.5	0.5
#F8F8F8	32	1	32 1	253	31.5	32.5	0.5	1.5
#FFFFFF	33	2	33 2	266	32.5	33.5	1.5	2.5
#FFFFFF	34	3	34 3	278	33.5	34.5	2.5	3.5
#FFFFFF	35	4	35 4	290	34.5	35.5	3.5	4.5
#FFFFFF	36	5	36 5	302	35.5	36.5	4.5	5.5
#FEFEFE	40	9	40 9	355	39.5	40.5	8.5	9.5
#FFFFFF	41	10	41 10	358	40.5	41.5	9.5	10.5
#FFFFFF	37	6	37 6	314	36.5	37.5	5.5	6.5
#C4C4C4	32	0	32 0	252	31.5	32.5	-0.5	0.5
#D9D9D9	33	1	33 1	264	32.5	33.5	0.5	1.5
#FDFDFD	35	3	35 3	289	34.5	35.5	2.5	3.5
#FEFEFE	40	8	40 8	354	39.5	40.5	7.5	8.5
#FFFFFF	34	2	34 2	277	33.5	34.5	1.5	2.5
#FFFFFF	42	10	42 10	369	41.5	42.5	9.5	10.5
#FDFDFD	37	5	37 5	313	36.5	37.5	4.5	5.5
#FFFFFF	36	4	36 4	301	35.5	36.5	3.5	4.5
#FFFFFF	41	9	41 9	366	40.5	41.5	8.5	9.5
#BEBEBE	33	0	33 0	263	32.5	33.5	-0.5	0.5
#D1D1D1	35	2	35 2	288	34.5	35.5	1.5	2.5
#DCDCDC	36	3	36 3	300	35.5	36.5	2.5	3.5
#FDFDFD	37	4	37 4	312	36.5	37.5	3.5	4.5
#FEFEFE	41	8	41 8	365	40.5	41.5	7.5	8.5
#FFFFFF	42	9	42 9	377	41.5	42.5	8.5	9.5
#EFEFEF	34	1	34 1	275	33.5	34.5	0.5	1.5
#FFFFFF	43	10	43 10	380	42.5	43.5	9.5	10.5
#FDFDFD	38	5	38 5	324	37.5	38.5	4.5	5.5
#C4C4C4	34	0	34 0	274	33.5	34.5	-0.5	0.5
#585858	36	2	36 2	299	35.5	36.5	1.5	2.5
#FDFDFD	38	4	38 4	323	37.5	38.5	3.5	4.5
#FDFDFD	39	5	39 5	335	38.5	39.5	4.5	5.5
#DCDCDC	37	3	37 3	311	36.5	37.5	2.5	3.5
#DEDEDE	35	1	35 1	286	34.5	35.5	0.5	1.5
#929292	35	0	35 0	285	34.5	35.5	-0.5	0.5
#B8B8B8	36	1	36 1	297	35.5	36.5	0.5	1.5
#CCCCCC	37	2	37 2	310	36.5	37.5	1.5	2.5
#FEFEFE	39	4	39 4	334	38.5	39.5	3.5	4.5
#828282	36	0	36 0	296	35.5	36.5	-0.5	0.5
#737373	37	1	37 1	308	36.5	37.5	0.5	1.5
#FCFCFC	38	2	38 2	321	37.5	38.5	1.5	2.5
#8A8A8A	37	0	37 0	307	36.5	37.5	-0.5	0.5
#D4D4D4	38	1	38 1	319	37.5	38.5	0.5	1.5
#999999	38	0	38 0	318	37.5	38.5	-0.5	0.5
#EDEDED	39	1	39 1	330	38.5	39.5	0.5	1.5
#BEBEBE	39	0	39 0	329	38.5	39.5	-0.5	0.5
#D7D7D7	40	1	40 1	346	39.5	40.5	0.5	1.5
#DFDFDF	40	2	40 2	348	39.5	40.5	1.5	2.5
#D8D8D8	41	2	41 2	359	40.5	41.5	1.5	2.5
#FBFBFB	41	3	41 3	360	40.5	41.5	2.5	3.5
#FFFFFF	42	4	42 4	372	41.5	42.5	3.5	4.5
#FFFFFF	43	4	43 4	383	42.5	43.5	3.5	4.5
#FEFEFE	42	3	42 3	371	41.5	42.5	2.5	3.5
#D6D6D6	40	0	40 0	345	39.5	40.5	-0.5	0.5
#A9A9A9	41	1	41 1	357	40.5	41.5	0.5	1.5
#F1F1F1	42	2	42 2	370	41.5	42.5	1.5	2.5
#FEFEFE	43	3	43 3	382	42.5	43.5	2.5	3.5
#FEFEFE	45	6	45 6	407	44.5	45.5	5.5	6.5
#FDFDFD	45	5	45 5	406	44.5	45.5	4.5	5.5
#FEFEFE	46	6	46 6	418	45.5	46.5	5.5	6.5
#ABABAB	41	0	41 0	356	40.5	41.5	-0.5	0.5
#EAEAEA	42	1	42 1	368	41.5	42.5	0.5	1.5
#FEFEFE	43	2	43 2	381	42.5	43.5	1.5	2.5
#FDFDFD	45	4	45 4	405	44.5	45.5	3.5	4.5
#FDFDFD	46	5	46 5	417	45.5	46.5	4.5	5.5
#FFFFFF	44	3	44 3	393	43.5	44.5	2.5	3.5
#FEFEFE	47	6	47 6	429	46.5	47.5	5.5	6.5
#A3A3A3	42	0	42 0	367	41.5	42.5	-0.5	0.5
#D4D4D4	43	1	43 1	379	42.5	43.5	0.5	1.5
#FCFCFC	44	2	44 2	392	43.5	44.5	1.5	2.5
#FEFEFE	46	4	46 4	416	45.5	46.5	3.5	4.5
#FEFEFE	47	5	47 5	428	46.5	47.5	4.5	5.5
#FEFEFE	45	3	45 3	404	44.5	45.5	2.5	3.5
#A6A6A6	43	0	43 0	378	42.5	43.5	-0.5	0.5
#F4F4F4	44	1	44 1	390	43.5	44.5	0.5	1.5
#FDFDFD	45	2	45 2	403	44.5	45.5	1.5	2.5
#FCFCFC	46	3	46 3	415	45.5	46.5	2.5	3.5
#FEFEFE	47	4	47 4	427	46.5	47.5	3.5	4.5
#FFFFFF	48	5	48 5	439	47.5	48.5	4.5	5.5
#C9C9C9	44	0	44 0	389	43.5	44.5	-0.5	0.5
#F0F0F0	45	1	45 1	401	44.5	45.5	0.5	1.5
#FBFBFB	46	2	46 2	414	45.5	46.5	1.5	2.5
#FEFEFE	47	3	47 3	426	46.5	47.5	2.5	3.5
#FFFFFF	52	9	52 9	493	51.5	52.5	8.5	9.5
#FEFEFE	48	4	48 4	438	47.5	48.5	3.5	4.5
#FFFFFF	52	8	52 8	492	51.5	52.5	7.5	8.5
#FDFDFD	49	5	49 5	450	48.5	49.5	4.5	5.5
#FFFFFF	51	8	51 8	481	50.5	51.5	7.5	8.5
#FEFEFE	49	6	49 6	451	48.5	49.5	5.5	6.5
#FFFFFF	51	7	51 7	480	50.5	51.5	6.5	7.5
#FEFEFE	50	6	50 6	468	49.5	50.5	5.5	6.5
#C0C0C0	45	0	45 0	400	44.5	45.5	-0.5	0.5
#F4F4F4	46	1	46 1	412	45.5	46.5	0.5	1.5
#FBFBFB	47	2	47 2	425	46.5	47.5	1.5	2.5
#FDFDFD	48	3	48 3	437	47.5	48.5	2.5	3.5
#FDFDFD	49	4	49 4	449	48.5	49.5	3.5	4.5
#FDFDFD	50	5	50 5	467	49.5	50.5	4.5	5.5
#FFFFFF	52	7	52 7	491	51.5	52.5	6.5	7.5
#FFFFFF	53	8	53 8	503	52.5	53.5	7.5	8.5
#CBCBCB	46	0	46 0	411	45.5	46.5	-0.5	0.5
#E2E2E2	47	1	47 1	423	46.5	47.5	0.5	1.5
#F9F9F9	48	2	48 2	436	47.5	48.5	1.5	2.5
#FBFBFB	49	3	49 3	448	48.5	49.5	2.5	3.5
#F9F9F9	50	4	50 4	466	49.5	50.5	3.5	4.5
#FFFFFF	53	7	53 7	502	52.5	53.5	6.5	7.5
#FFFFFF	55	10	55 10	518	54.5	55.5	9.5	10.5
#FEFEFE	51	5	51 5	478	50.5	51.5	4.5	5.5
#FFFFFF	56	10	56 10	529	55.5	56.5	9.5	10.5
#FFFFFF	51	6	51 6	479	50.5	51.5	5.5	6.5
#FFFFFF	52	6	52 6	490	51.5	52.5	5.5	6.5
#FFFFFF	54	8	54 8	514	53.5	54.5	7.5	8.5
#FFFFFF	55	9	55 9	526	54.5	55.5	8.5	9.5
#BABABA	47	0	47 0	422	46.5	47.5	-0.5	0.5
#EFEFEF	48	1	48 1	434	47.5	48.5	0.5	1.5
#F3F3F3	49	2	49 2	447	48.5	49.5	1.5	2.5
#EDEDED	50	3	50 3	465	49.5	50.5	2.5	3.5
#F7F7F7	51	4	51 4	477	50.5	51.5	3.5	4.5
#FFFFFF	53	6	53 6	501	52.5	53.5	5.5	6.5
#FFFFFF	54	7	54 7	513	53.5	54.5	6.5	7.5
#FFFFFF	56	9	56 9	537	55.5	56.5	8.5	9.5
#FFFFFF	52	5	52 5	489	51.5	52.5	4.5	5.5
#FFFFFF	55	8	55 8	525	54.5	55.5	7.5	8.5
#FFFFFF	57	10	57 10	540	56.5	57.5	9.5	10.5
#C0C0C0	48	0	48 0	433	47.5	48.5	-0.5	0.5
#EEEEEE	49	1	49 1	445	48.5	49.5	0.5	1.5
#F7F7F7	50	2	50 2	464	49.5	50.5	1.5	2.5
#EBEBEB	51	3	51 3	476	50.5	51.5	2.5	3.5
#FFFFFF	53	5	53 5	500	52.5	53.5	4.5	5.5
#FEFEFE	54	6	54 6	512	53.5	54.5	5.5	6.5
#FFFFFF	57	9	57 9	548	56.5	57.5	8.5	9.5
#FFFFFF	52	4	52 4	488	51.5	52.5	3.5	4.5
#FEFEFE	56	8	56 8	536	55.5	56.5	7.5	8.5
#A9A9A9	49	0	49 0	444	48.5	49.5	-0.5	0.5
#F5F5F5	50	1	50 1	462	49.5	50.5	0.5	1.5
#F8F8F8	51	2	51 2	475	50.5	51.5	1.5	2.5
#FEFEFE	53	4	53 4	499	52.5	53.5	3.5	4.5
#FCFCFC	57	8	57 8	547	56.5	57.5	7.5	8.5
#F3F3F3	52	3	52 3	487	51.5	52.5	2.5	3.5
#F9F9F9	56	7	56 7	535	55.5	56.5	6.5	7.5
#FCFCFC	54	5	54 5	511	53.5	54.5	4.5	5.5
#FFFFFF	55	7	55 7	524	54.5	55.5	6.5	7.5
#898989	50	0	50 0	461	49.5	50.5	-0.5	0.5
#E9E9E9	51	1	51 1	473	50.5	51.5	0.5	1.5
#DADADA	52	2	52 2	486	51.5	52.5	1.5	2.5
#F9F9F9	53	3	53 3	498	52.5	53.5	2.5	3.5
#FCFCFC	55	5	55 5	522	54.5	55.5	4.5	5.5
#FCFCFC	55	6	55 6	523	54.5	55.5	5.5	6.5
#FCFCFC	56	6	56 6	534	55.5	56.5	5.5	6.5
#F8F8F8	57	7	57 7	546	56.5	57.5	6.5	7.5
#FDFDFD	54	4	54 4	510	53.5	54.5	3.5	4.5
#A1A1A1	51	0	51 0	472	50.5	51.5	-0.5	0.5
#C3C3C3	52	1	52 1	484	51.5	52.5	0.5	1.5
#E9E9E9	53	2	53 2	497	52.5	53.5	1.5	2.5
#FDFDFD	54	3	54 3	509	53.5	54.5	2.5	3.5
#FCFCFC	55	4	55 4	521	54.5	55.5	3.5	4.5
#FEFEFE	56	5	56 5	533	55.5	56.5	4.5	5.5
#FEFEFE	57	6	57 6	545	56.5	57.5	5.5	6.5
#FFFFFF	58	7	58 7	557	57.5	58.5	6.5	7.5
#9C9C9C	52	0	52 0	483	51.5	52.5	-0.5	0.5
#B9B9B9	53	1	53 1	495	52.5	53.5	0.5	1.5
#F7F7F7	54	2	54 2	508	53.5	54.5	1.5	2.5
#FEFEFE	57	5	57 5	544	56.5	57.5	4.5	5.5
#FDFDFD	56	4	56 4	532	55.5	56.5	3.5	4.5
#FFFFFF	58	6	58 6	556	57.5	58.5	5.5	6.5
#FEFEFE	55	3	55 3	520	54.5	55.5	2.5	3.5
#5E5E5E	53	0	53 0	494	52.5	53.5	-0.5	0.5
#D3D3D3	54	1	54 1	506	53.5	54.5	0.5	1.5
#FDFDFD	55	2	55 2	519	54.5	55.5	1.5	2.5
#FBFBFB	56	3	56 3	531	55.5	56.5	2.5	3.5
#FFFFFF	57	4	57 4	543	56.5	57.5	3.5	4.5
#FEFEFE	58	5	58 5	555	57.5	58.5	4.5	5.5
#747474	54	0	54 0	505	53.5	54.5	-0.5	0.5
#949494	55	0	55 0	516	54.5	55.5	-0.5	0.5
#C0C0C0	55	1	55 1	517	54.5	55.5	0.5	1.5
#B5B5B5	56	1	56 1	528	55.5	56.5	0.5	1.5
#FFFFFF	59	4	59 4	565	58.5	59.5	3.5	4.5
#FFFFFF	59	5	59 5	566	58.5	59.5	4.5	5.5
#929292	56	0	56 0	527	55.5	56.5	-0.5	0.5
#FFFFFF	58	3	58 3	553	57.5	58.5	2.5	3.5
#FFFFFF	60	5	60 5	584	59.5	60.5	4.5	5.5
#FCFCFC	59	3	59 3	564	58.5	59.5	2.5	3.5
#FDFDFD	60	4	60 4	583	59.5	60.5	3.5	4.5
#D8D8D8	57	1	57 1	539	56.5	57.5	0.5	1.5
#9D9D9D	57	0	57 0	538	56.5	57.5	-0.5	0.5
#FAFAFA	60	3	60 3	582	59.5	60.5	2.5	3.5
#F5F5F5	58	2	58 2	552	57.5	58.5	1.5	2.5
#FAFAFA	59	2	59 2	563	58.5	59.5	1.5	2.5
#FEFEFE	61	4	61 4	594	60.5	61.5	3.5	4.5
#DFDFDF	58	1	58 1	550	57.5	58.5	0.5	1.5
#CACACA	58	0	58 0	549	57.5	58.5	-0.5	0.5
#EFEFEF	59	1	59 1	561	58.5	59.5	0.5	1.5
#FCFCFC	60	2	60 2	581	59.5	60.5	1.5	2.5
#FEFEFE	61	3	61 3	593	60.5	61.5	2.5	3.5
#BABABA	59	0	59 0	560	58.5	59.5	-0.5	0.5
#FBFBFB	61	2	61 2	592	60.5	61.5	1.5	2.5
#E2E2E2	60	1	60 1	579	59.5	60.5	0.5	1.5
#FDFDFD	62	3	62 3	604	61.5	62.5	2.5	3.5
#919191	60	0	60 0	578	59.5	60.5	-0.5	0.5
